name,rank,gamesPlayed,averageScore,accuracy
fshackell6w,249,249,249,0.2
asavery6x,250,250,250,0.7
krenn6y,251,251,251,0.9
mtesoe6z,252,252,252,0.8
wsarle70,253,253,253,0.1
bskoate71,254,254,254,0.6
pmathou72,255,255,255,0.3
fbydaway73,256,256,256,0.7
mpoulsom74,257,257,257,0.1
hgreedyer75,258,258,258,0.6
gsawdon76,259,259,259,0.8
spindred77,260,260,260,0.3
sstuchberry78,261,261,261,0.8
kwakelin79,262,262,262,0.3
ttemprell7a,263,263,263,0.3
mbenterman7b,264,264,264,0.9
kaird7c,265,265,265,0.9
sdufty7d,266,266,266,0.9
neat7e,267,267,267,0.2
nkruszelnicki7f,268,268,268,0.5
mfidilis7g,269,269,269,0.7
hthies7h,270,270,270,0.5
egribbon7i,271,271,271,0.3
rskeath7j,272,272,272,0.8
lmcane7k,273,273,273,0.1
adegiorgi7l,274,274,274,0.2
bglover7m,275,275,275,0.7
tgilliam7n,276,276,276,0.9
ecosbey7o,277,277,277,0.3
cpenk7p,278,278,278,0.4
tbennellick7q,279,279,279,0.9
jdavisson7r,280,280,280,0.3
comullen7s,281,281,281,0.9
egieves7t,282,282,282,0.5
hmacsorley7u,283,283,283,1.0
mterbeek7v,284,284,284,0.9
vpedlar7w,285,285,285,0.8
lwray7x,286,286,286,0.1
tmoseby7y,287,287,287,0.2
nmabon7z,288,288,288,0.7
sbaskett80,289,289,289,0.5
pwant81,290,290,290,0.5
dvasquez82,291,291,291,0.3
sblague83,292,292,292,0.1
rlindenbluth84,293,293,293,1.0
blown85,294,294,294,0.2
mdakhov86,295,295,295,0.6
cstairmond87,296,296,296,0.6
rgrzeszczak88,297,297,297,0.7
ckitchingham89,298,298,298,0.4
mcrighton8a,299,299,299,0.7
pbittany8b,300,300,300,0.4
cleipold8c,301,301,301,0.6
jlarver8d,302,302,302,1.0
mnix8e,303,303,303,0.7
jmorrallee8f,304,304,304,0.5
wfarden8g,305,305,305,0.5
bbodycombe8h,306,306,306,0.5
palenin8i,307,307,307,0.4
jmcterry8j,308,308,308,0.9
gsedger8k,309,309,309,0.8
pskouling8l,310,310,310,0.8
spartlett8m,311,311,311,0.4
flowdwell8n,312,312,312,0.5
mdovidaitis8o,313,313,313,0.7
jcove8p,314,314,314,0.0
mpeabody8q,315,315,315,0.3
mkmieciak8r,316,316,316,0.1
astirtle8s,317,317,317,0.6
sskullet8t,318,318,318,0.2
mweinberg8u,319,319,319,1.0
dbarkshire8v,320,320,320,0.5
cwessing8w,321,321,321,0.2
tpadrick8x,322,322,322,0.7
rmarchent8y,323,323,323,0.9
dhyndes8z,324,324,324,0.0
lwillden90,325,325,325,0.5
dshorland91,326,326,326,0.9
ehowden92,327,327,327,1.0
shamshar93,328,328,328,0.6
fweavers94,329,329,329,0.6
rpickersgill95,330,330,330,0.6
edoddemeede96,331,331,331,0.1
smoral97,332,332,332,0.8
cemburey98,333,333,333,0.8
bscandrick99,334,334,334,0.6
ntrimby9a,335,335,335,0.8
edebney9b,336,336,336,0.4
ccoonihan9c,337,337,337,0.7
kgreiser9d,338,338,338,0.9
rwarnock9e,339,339,339,0.5
jivanuschka9f,340,340,340,0.8
rmacpharlain9g,341,341,341,1.0
ceverley9h,342,342,342,0.5
savrahamov9i,343,343,343,0.2
asam9j,344,344,344,0.0
rtraill9k,345,345,345,0.5
nottewell9l,346,346,346,0.5
mogelsby9m,347,347,347,0.7
dwitherow9n,348,348,348,0.9
msheen9o,349,349,349,1.0
dmoffett9p,350,350,350,1.0
rrhydderch9q,351,351,351,0.1
ttappor9r,352,352,352,0.3
cmurt9s,353,353,353,0.7
zspelman9t,354,354,354,0.6
lbaynard9u,355,355,355,0.9
wfury9v,356,356,356,0.5
cberzen9w,357,357,357,0.7
lrounce9x,358,358,358,0.2
gbatram9y,359,359,359,0.9
hcamus9z,360,360,360,0.9
doduilleaina0,361,361,361,0.4
diacapuccia1,362,362,362,0.0
khogginsa2,363,363,363,0.8
mnibleya3,364,364,364,0.3
sfortea4,365,365,365,0.8
rkmieca5,366,366,366,0.9
aashera6,367,367,367,0.3
jgrinsdalea7,368,368,368,0.8
jcysona8,369,369,369,0.5
mstoneleya9,370,370,370,0.2
fwanderschekaa,371,371,371,0.9
cmassieab,372,372,372,0.8
umillanac,373,373,373,0.1
kbonellead,374,374,374,0.2
rradclyffeae,375,375,375,0.6
dmelioraf,376,376,376,0.3
delverstonag,377,377,377,0.9
cdivverah,378,378,378,0.7
mdedomeniciai,379,379,379,0.3
jjedrzejewiczaj,380,380,380,0.5
aodeveyak,381,381,381,0.3
bmacgounal,382,382,382,0.0
jpartkyaam,383,383,383,0.6
rdanickan,384,384,384,0.7
dtejadaao,385,385,385,0.8
dhardawayap,386,386,386,0.3
mlehraq,387,387,387,0.9
mschollickar,388,388,388,0.4
aivanikhinas,389,389,389,0.1
areddelat,390,390,390,0.4
zbeastonau,391,391,391,0.1
wpoundsav,392,392,392,0.4
ypaskellaw,393,393,393,0.6
sjensenax,394,394,394,0.3
neleshenaray,395,395,395,0.2
lpickavantaz,396,396,396,0.6
rrunnaclesb0,397,397,397,0.3
dmackibbonb1,398,398,398,0.7
cpenellib2,399,399,399,0.2
sthezeb3,400,400,400,0.0
bcruwysb4,401,401,401,0.5
tgammillb5,402,402,402,0.0
tpoverb6,403,403,403,0.6
rvanderdaalb7,404,404,404,0.6
bpetrulisb8,405,405,405,0.1
bdewdenyb9,406,406,406,0.8
ecorckba,407,407,407,0.7
adewingbb,408,408,408,0.8
wrennisonbc,409,409,409,0.4
dbrazierbd,410,410,410,0.7
aangearbe,411,411,411,0.7
fbentjensbf,412,412,412,0.9
dislepbg,413,413,413,0.2
epinnegarbh,414,414,414,0.7
kancliffbi,415,415,415,0.1
swhettonbj,416,416,416,0.3
hbransdenbk,417,417,417,0.1
ykisbeybl,418,418,418,0.9
sinklesbm,419,419,419,0.6
ecosbeebn,420,420,420,0.0
hkobelbo,421,421,421,0.1
wokynsillaghebp,422,422,422,0.4
rpreddlebq,423,423,423,0.6
janthambr,424,424,424,1.0
rspringbs,425,425,425,0.1
cdeamerbt,426,426,426,0.9
fcreambu,427,427,427,0.9
mbieverbv,428,428,428,0.0
sweerdenburgbw,429,429,429,0.9
cbostonbx,430,430,430,0.6
gfeastby,431,431,431,0.5
fschmuhlbz,432,432,432,0.9
wlangelayc0,433,433,433,0.4
hhuglinc1,434,434,434,0.3
astarrsc2,435,435,435,0.5
ptiernyc3,436,436,436,0.8
yquilliamc4,437,437,437,0.7
lmacgaughyc5,438,438,438,0.7
sconcannonc6,439,439,439,0.5
fmoresbyc7,440,440,440,0.8
ctoombsc8,441,441,441,0.5
ppotterc9,442,442,442,0.2
sgrogerca,443,443,443,0.1
edaverincb,444,444,444,0.2
nphincc,445,445,445,0.7
jcompsoncd,446,446,446,0.3
dlantuffece,447,447,447,0.8
cgreyescf,448,448,448,0.9
gflintoffecg,449,449,449,1.0
rguiraudch,450,450,450,0.4
gkringeci,451,451,451,0.8
lmosconicj,452,452,452,1.0
nkmentck,453,453,453,0.0
lolyfatcl,454,454,454,0.7
vmazzillicm,455,455,455,0.7
wpauleaucn,456,456,456,0.9
thatliffco,457,457,457,0.2
pmcgrouthercp,458,458,458,0.4
firemongercq,459,459,459,0.4
ppottscr,460,460,460,0.9
tdehoochcs,461,461,461,0.9
showcroftct,462,462,462,0.9
sdosedalecu,463,463,463,0.0
akernecv,464,464,464,0.2
meggertoncw,465,465,465,0.6
jmessumcx,466,466,466,0.9
acherryholmecy,467,467,467,0.4
mchristallcz,468,468,468,0.1
gstutardd0,469,469,469,0.5
zcropperd1,470,470,470,0.7
hleamyd2,471,471,471,0.1
eburfittd3,472,472,472,0.9
cgresserd4,473,473,473,0.6
kpryced5,474,474,474,0.1
zfernyhoughd6,475,475,475,0.6
mcundictd7,476,476,476,0.3
aherleyd8,477,477,477,0.2
kwightmand9,478,478,478,0.1
bkettonda,479,479,479,0.1
gsilbydb,480,480,480,0.3
wcastigliodc,481,481,481,0.4
aslidedd,482,482,482,0.2
iwinsborrowde,483,483,483,0.3
cmarcinkowskidf,484,484,484,0.7
porchartdg,485,485,485,0.2
adanesdh,486,486,486,0.1
sblasdi,487,487,487,0.5
jjaindj,488,488,488,0.8
rsarchwelldk,489,489,489,0.8
wnorledgedl,490,490,490,0.6
oscarredm,491,491,491,0.3
pdemkowiczdn,492,492,492,0.2
ndebellisdo,493,493,493,0.9
rbittlestonedp,494,494,494,0.7
rcasementdq,495,495,495,0.7
pcampadr,496,496,496,0.8
ctoselandds,497,497,497,0.3
melendt,498,498,498,0.2
egilliatdu,499,499,499,0.2
blimbdv,500,500,500,0.5
lmuirheaddw,501,501,501,0.1
cadcockdx,502,502,502,0.5
tgarveydy,503,503,503,0.6
gmountstephendz,504,504,504,1.0
lwiddowse0,505,505,505,0.1
sandreinie1,506,506,506,0.4
pfrickere2,507,507,507,0.4
cmacvaine3,508,508,508,0.1
hcallare4,509,509,509,0.4
bfennellye5,510,510,510,0.8
kdawse6,511,511,511,0.9
eshrubbe7,512,512,512,0.1
dseare8,513,513,513,0.5
rgoldwatere9,514,514,514,0.5
abohlensea,515,515,515,0.1
ddoerffereb,516,516,516,0.4
sbraimec,517,517,517,0.0
bperinged,518,518,518,0.8
lwitherdonee,519,519,519,0.2
mjennemannef,520,520,520,0.8
mtreadawayeg,521,521,521,0.9
cwiskereh,522,522,522,0.2
bspilsburyei,523,523,523,0.9
gsammsej,524,524,524,0.1
cbestwallek,525,525,525,0.0
zcardinalel,526,526,526,0.0
dfernezem,527,527,527,0.5
fattenbarrowen,528,528,528,0.2
ddickerlineeo,529,529,529,0.0
billesep,530,530,530,0.7
eloudoneq,531,531,531,0.6
kbiddeller,532,532,532,0.5
mwarryes,533,533,533,0.5
smasseret,534,534,534,0.0
ugaudeneu,535,535,535,0.5
sstreightev,536,536,536,0.5
jhazemanew,537,537,537,0.0
hdykesex,538,538,538,0.2
fbegganey,539,539,539,0.2
kmcguiganez,540,540,540,0.4
atunnowf0,541,541,541,0.7
egraylingf1,542,542,542,0.5
gmushetf2,543,543,543,0.5
ocolerickf3,544,544,544,0.4
cboowf4,545,545,545,0.5
nbeldumf5,546,546,546,0.5
iwainef6,547,547,547,0.2
iiozefovichf7,548,548,548,0.3
jmacnaughtonf8,549,549,549,0.6
mdupreef9,550,550,550,0.0
fjulyanfa,551,551,551,0.8
phawthornfb,552,552,552,0.5
msimkovitzfc,553,553,553,0.5
cthowesfd,554,554,554,0.5
aethridgefe,555,555,555,0.3
tdodameadff,556,556,556,0.7
mludovicifg,557,557,557,0.9
ederringtonfh,558,558,558,0.1
mblemingsfi,559,559,559,0.7
dwoehlerfj,560,560,560,0.4
mloftingfk,561,561,561,1.0
djickellsfl,562,562,562,0.6
mharnessfm,563,563,563,0.0
uaimsonfn,564,564,564,0.1
sjarnellfo,565,565,565,0.2
iprophetfp,566,566,566,0.1
wcoltonfq,567,567,567,0.7
sbourtoumieuxfr,568,568,568,0.5
spoundfordfs,569,569,569,1.0
sferbracheft,570,570,570,0.9
rgrisewoodfu,571,571,571,0.2
nmccombfv,572,572,572,0.8
jjaunceyfw,573,573,573,0.7
macorsfx,574,574,574,0.7
adowdneyfy,575,575,575,0.4
mnavarrefz,576,576,576,0.6
apostanceg0,577,577,577,0.5
ktembeyg1,578,578,578,0.7
rhinkseng2,579,579,579,0.3
aplutherog3,580,580,580,0.6
hdeddumg4,581,581,581,0.8
ckemberyg5,582,582,582,0.3
loherng6,583,583,583,0.5
rlawleeg7,584,584,584,0.8
calfusog8,585,585,585,0.3
ktapping9,586,586,586,0.7
iharfletega,587,587,587,0.2
afultongb,588,588,588,0.4
asnaddingc,589,589,589,0.3
twithinshawgd,590,590,590,0.1
jbraceyge,591,591,591,0.8
sburgwingf,592,592,592,0.5
agirdwoodgg,593,593,593,0.3
obetongh,594,594,594,0.7
emaltmangi,595,595,595,0.1
aettritchgj,596,596,596,0.2
dlathamgk,597,597,597,0.2
pbarrattgl,598,598,598,0.6
cdunkerleygm,599,599,599,0.1
grymergn,600,600,600,0.5
tbrabango,601,601,601,0.3
dfishlygp,602,602,602,0.1
dmarflittgq,603,603,603,0.4
tpitonegr,604,604,604,0.5
klangfittgs,605,605,605,0.3
rmorbeygt,606,606,606,0.8
cgodsmarkgu,607,607,607,0.7
wnezeygv,608,608,608,0.0
rdivinagw,609,609,609,0.0
sburreegx,610,610,610,0.6
jmckiernangy,611,611,611,0.2
kbalhatchetgz,612,612,612,0.5
kdunneh0,613,613,613,0.1
jbickellh1,614,614,614,0.3
taprahamianh2,615,615,615,0.2
mlumsdonh3,616,616,616,0.7
wfosseyh4,617,617,617,0.7
ttippinh5,618,618,618,0.8
atantrumh6,619,619,619,0.7
jalldish7,620,620,620,0.2
mottleyh8,621,621,621,0.1
swaldockeh9,622,622,622,0.0
mbellordha,623,623,623,0.3
kgollandhb,624,624,624,0.9
tstandringhc,625,625,625,0.2
fkinmanhd,626,626,626,0.9
aguddhe,627,627,627,0.7
ecluttenhf,628,628,628,0.6
dcatterillhg,629,629,629,0.2
milyinskihh,630,630,630,0.1
lshrivehi,631,631,631,0.3
jlaurethj,632,632,632,0.8
mhalletthk,633,633,633,0.8
apatkinhl,634,634,634,0.5
hfonzonehm,635,635,635,0.2
fmacpikehn,636,636,636,0.8
rmcgurnho,637,637,637,0.2
amaccorkellhp,638,638,638,0.3
crotherahq,639,639,639,0.2
fenokssonhr,640,640,640,0.3
rdoerrenhs,641,641,641,0.4
fhasnneyht,642,642,642,0.3
rjennohu,643,643,643,0.4
ebuckstonhv,644,644,644,0.1
bjanikowskihw,645,645,645,0.0
ksimiolihx,646,646,646,0.1
rstillhy,647,647,647,0.4
smeccohz,648,648,648,0.7
mruddimani0,649,649,649,0.1
ehakewelli1,650,650,650,0.6
cdavidovichi2,651,651,651,0.8
epurcelli3,652,652,652,0.1
bkagani4,653,653,653,0.9
eseaberti5,654,654,654,0.2
molivettii6,655,655,655,0.7
xmaybeyi7,656,656,656,0.2
kambroisei8,657,657,657,0.6
hadawayi9,658,658,658,0.6
toakeia,659,659,659,0.2
bchoppingib,660,660,660,0.4
slippiniic,661,661,661,0.9
mdiggleid,662,662,662,0.7
hwaringie,663,663,663,0.5
alauritzenif,664,664,664,1.0
gdupeyig,665,665,665,0.2
cdimitriouih,666,666,666,0.1
csimonettiii,667,667,667,0.4
ehammelbergij,668,668,668,0.5
hfawdrieik,669,669,669,0.3
mwignallil,670,670,670,0.9
pboerderim,671,671,671,0.4
jridesdalein,672,672,672,0.1
nimpsonio,673,673,673,0.3
ksparkeip,674,674,674,0.0
hmatesiq,675,675,675,0.1
cenochssonir,676,676,676,0.8
gcaldarois,677,677,677,0.7
wlitelit,678,678,678,0.4
srasmusiu,679,679,679,0.9
cpetherickiv,680,680,680,0.5
tpiddlehintoniw,681,681,681,0.6
dgreeninix,682,682,682,0.1
lgeakeiy,683,683,683,0.8
kdegreyiz,684,684,684,0.1
cdarnodyj0,685,685,685,0.5
rverlindej1,686,686,686,0.9
wbealesj2,687,687,687,0.6
sflannerj3,688,688,688,0.1
wdymottj4,689,689,689,0.2
rdobiej5,690,690,690,0.9
xsousaj6,691,691,691,0.0
cjollyej7,692,692,692,0.1
rbreederj8,693,693,693,0.4
mguerreiroj9,694,694,694,0.4
harundaleja,695,695,695,0.7
aisacqjb,696,696,696,0.4
erobiotjc,697,697,697,0.7
afewsterjd,698,698,698,0.3
rboodleje,699,699,699,0.4
fmatasjf,700,700,700,0.0
cjiranjg,701,701,701,1.0
barpinojh,702,702,702,0.9
sstiffji,703,703,703,0.6
mhayenjj,704,704,704,0.6
lcawtejk,705,705,705,0.2
jproppersjl,706,706,706,0.2
lroberdsjm,707,707,707,0.5
sdyejn,708,708,708,0.5
aoldfieldcherryjo,709,709,709,0.2
mportlockjp,710,710,710,1.0
wshillittojq,711,711,711,0.8
tfinnickjr,712,712,712,0.3
zkubistajs,713,713,713,0.2
afearnsidejt,714,714,714,0.1
hmattkeju,715,715,715,0.3
lkittjv,716,716,716,0.2
jcockneyjw,717,717,717,0.5
tsealeafjx,718,718,718,0.4
bmcnivenjy,719,719,719,0.2
scollinsjz,720,720,720,0.1
glisciandrok0,721,721,721,1.0
kwightk1,722,722,722,0.4
dscuffhamk2,723,723,723,0.9
dutridgek3,724,724,724,0.9
pjacquemyk4,725,725,725,0.5
nyuryatink5,726,726,726,0.7
hionescok6,727,727,727,0.8
rcapehornk7,728,728,728,0.6
dwillinghamk8,729,729,729,0.9
pcassellk9,730,730,730,1.0
jfarendenka,731,731,731,0.8
rkennedykb,732,732,732,0.4
vlevingkc,733,733,733,0.1
granyardkd,734,734,734,0.3
eklammtke,735,735,735,0.2
abathkf,736,736,736,0.9
lconybearkg,737,737,737,0.9
miskowiczkh,738,738,738,0.5
jbloyki,739,739,739,0.6
dboudakj,740,740,740,0.5
vfenelonkk,741,741,741,1.0
zrozekl,742,742,742,1.0
sdocwrakm,743,743,743,0.5
hsignkn,744,744,744,0.2
carundaleko,745,745,745,0.2
cwillowbykp,746,746,746,0.7
rtittertonkq,747,747,747,0.6
dzealykr,748,748,748,0.7
wbrucksteinks,749,749,749,0.2
nbullimorekt,750,750,750,0.7
hambergerku,751,751,751,0.2
sfoardkv,752,752,752,0.2
adesantoskw,753,753,753,0.6
fkenwoodkx,754,754,754,0.5
ucorderoyky,755,755,755,0.2
gluntkz,756,756,756,1.0
eblaydl0,757,757,757,0.7
amalickil1,758,758,758,0.0
wmacsharryl2,759,759,759,0.5
sgrosel3,760,760,760,0.4
khollowsl4,761,761,761,0.3
ccastanosl5,762,762,762,0.4
hcloggl6,763,763,763,0.8
sfearickl7,764,764,764,0.1
jwasmerl8,765,765,765,0.0
aphinl9,766,766,766,0.5
dbradmanla,767,767,767,0.8
mfrancesconilb,768,768,768,0.3
fheadfordlc,769,769,769,0.9
jastletld,770,770,770,0.3
efortunle,771,771,771,0.1
tbeartlf,772,772,772,0.9
dbesantielg,773,773,773,1.0
ieslemontlh,774,774,774,0.6
cfilipovicli,775,775,775,0.0
gmortenlj,776,776,776,0.3
tpieronilk,777,777,777,0.3
bdeluciall,778,778,778,0.8
loakeslm,779,779,779,0.9
rhurlingln,780,780,780,0.0
fmenarylo,781,781,781,0.4
ldibenlp,782,782,782,0.3
ncouldwelllq,783,783,783,0.7
tgerritlr,784,784,784,0.3
aheijnenls,785,785,785,0.8
kmarginsonlt,786,786,786,0.9
ajinalu,787,787,787,0.2
dleeveslv,788,788,788,0.7
mcisselllw,789,789,789,0.5
gtaiglx,790,790,790,0.6
sbrimleyly,791,791,791,0.9
jollerlz,792,792,792,0.2
agrishmanovm0,793,793,793,0.1
rmaccostiganm1,794,794,794,0.0
spapierzm2,795,795,795,0.1
ftremellingm3,796,796,796,0.9
efeldharkerm4,797,797,797,0.9
ggiacomassom5,798,798,798,0.9
dclougherm6,799,799,799,1.0
gorltonm7,800,800,800,1.0
lcolbertsonm8,801,801,801,0.6
cgrosem9,802,802,802,0.1
abarlthropma,803,803,803,0.9
adeanemb,804,804,804,0.6
bbessonmc,805,805,805,0.5
ofishlymd,806,806,806,0.4
etayeme,807,807,807,0.6
gcharlinmf,808,808,808,1.0
ccolloffmg,809,809,809,0.5
gaycemh,810,810,810,0.4
eschultmi,811,811,811,0.4
